,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ELECTSECFOREIGN18,KAVANAUGH18,TRUMP4,VOTE2016,TRUMPFP18,CONTROLHOUSE,VETVOTER,FTVOTER18,ABORTION18
201,25681,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,25-29,Latino 18-29,42,Bachelor's degree (BA or BS),Yes,Latino Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Hispanic/Latino,West,Suburbs,Other,Version 1,1.53765070438385,Latino men,Non-white,California,Yes,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,Yes,Keep it as is
202,25682,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,52,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,White,West,"Cities over 500,000",Other,Version 1,9.56068992614746,White men,White,California,No,Oppose,Strongly disapprove,Didn't vote,No difference,The Democratic Party,No,Yes,Keep it as is
205,25685,The Democratic candidate,The Democratic candidate,Male,,60-64,Black 60+,31,Associate's degree (AA or AS),No,Black Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Black,West,Suburbs,Other,Version 1,1.12791335582733,Black men,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
206,25686,The Republican candidate,The Republican candidate,Female,,30-39,Latino 30-44,3,Attended college but received no degree,Yes,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,Hispanic/Latino,West,Suburbs,Other,Version 1,2.40164542198181,Latino women,Non-white,California,Yes,Support,Somewhat approve,Donald Trump,No difference,The Republican Party,No,No,Overturn it
207,25687,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,Black 60+,26,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Black,West,"Cities 50,000-500,000",Other,Version 1,.81684672832489,Black men,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
208,25688,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,25-29,Latino 18-29,22,Bachelor's degree (BA or BS),Yes,Latino Independent,Independent,Independent Women,Liberal,Liberal Independents,Hispanic/Latino,West,"Cities over 500,000",Other,Version 1,1.73883008956909,Latino women,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
209,25689,The Democratic candidate,The Democratic candidate,Male,,18-24,Latino 18-29,14,Bachelor's degree (BA or BS),Yes,Latino Independent,Something else,Independent Men,Liberal,Liberal Independents,Hispanic/Latino,West,Suburbs,Other,Version 1,3.84082937240601,Latino men,Non-white,California,No,Oppose,Strongly disapprove,Didn't vote,No difference,The Democratic Party,No,Yes,Keep it as is
211,25691,The Republican candidate,The Republican candidate,Male,,65 or over,White 60+,42,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 1,.26183757185936,White men,White,California,Yes,Support,Strongly approve,Donald Trump,The U.S. less safe,The Republican Party,No,No,Keep it as is
212,25692,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,Latino 30-44,12,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Independent,Independent,Independent Men,Liberal,Liberal Independents,Hispanic/Latino,West,"Cities over 500,000",Other,Version 1,1.85055065155029,Latino men,Non-white,California,No,Oppose,Strongly disapprove,Hillary Clinton,The U.S. less safe,The Democratic Party,No,No,Keep it as is
213,25693,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,All others,4,Associate's degree (AA or AS),No,All Other,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,Other,West,Rural,Other,Version 1,.384195983409882,All other races,Non-white,California,No,Oppose,Strongly disapprove,Other,The U.S. less safe,The Democratic Party,Yes,No,Keep it as is
