,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ATTEND16,ATTREL,BOYSGIRLS,BRNAGAIN,CHILD18,CHILDBOY,CHILDGIRL,ISSUE18,MARRIED,PARENTS,TRUMP4,WOMEN,HEALTHPRE18,GUN16,SEXUALHARASS,SEXWED,GUNOWNER12,RELIGN18
301,25781,1,1.0,2,1.0,5,3,11,4,2.0,3,3,4,1,4,1,1,1,2,Version 3,2.98074889183044,2,1,4,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1,1.0,4.0,1,2,1,1,2,2.0,2.0,2.0
302,25782,2,2.0,2,1.0,3,2,45,4,2.0,1,2,6,1,2,1,1,1,2,Version 3,2.54922533035278,2,1,4,4.0,1.0,4.0,2.0,1.0,2.0,1.0,2,1.0,4.0,4,4,2,1,2,2.0,2.0,4.0
304,25784,1,1.0,1,1.0,6,3,19,5,2.0,2,1,1,2,7,1,1,3,3,Version 3,.783298313617706,1,1,4,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,2,1,1,1,2,3.0,2.0,7.0
305,25785,1,1.0,1,1.0,5,13,11,5,2.0,8,1,1,2,7,5,1,1,3,Version 3,3.30161619186401,7,2,4,3.0,3.0,3.0,2.0,1.0,1.0,2.0,4,1.0,3.0,1,1,1,1,1,1.0,2.0,2.0
306,25786,2,2.0,2,1.0,7,4,23,2,2.0,3,3,4,3,3,1,1,1,2,Version 3,.763216555118561,2,1,4,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3,1.0,2.0,3,4,1,2,3,2.0,1.0,2.0
307,25787,1,1.0,1,1.0,8,4,5,5,2.0,2,1,1,1,5,1,1,5,3,Version 3,.537578046321869,1,1,4,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,2,1,2,1,1.0,2.0,1.0
309,25789,1,1.0,2,1.0,5,7,42,5,2.0,4,1,2,2,7,2,1,1,3,Version 3,.423655450344086,4,2,4,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2,1.0,4.0,2,2,1,1,2,2.0,1.0,3.0
310,25790,1,1.0,1,1.0,1,9,33,4,1.0,7,3,3,2,6,3,1,1,3,Version 3,.784276485443115,5,2,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4,2.0,1.0,1,1,1,1,1,3.0,1.0,7.0
311,25791,1,1.0,2,,1,1,50,2,2.0,2,1,2,2,7,1,1,1,2,Version 3,2.48631763458252,2,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,1,1,1,1,1,4.0,1.0,7.0
312,25792,1,1.0,1,1.0,8,12,31,1,1.0,6,1,1,3,5,3,1,1,3,Version 3,5.83082151412964,5,2,4,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4,1.0,1.0,1,1,1,1,2,1.0,2.0,3.0
313,25793,1,1.0,1,1.0,6,3,6,5,2.0,2,1,1,2,7,1,1,2,3,Version 3,.429174810647964,1,1,4,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1,1.0,1.0,1,1,1,1,1,1.0,2.0,2.0
316,25796,1,1.0,1,1.0,3,2,11,2,2.0,2,1,1,2,7,1,1,1,1,Version 3,4.40876865386963,1,1,4,4.0,3.0,1.0,2.0,2.0,2.0,2.0,1,2.0,1.0,1,1,1,1,1,3.0,1.0,2.0
317,25797,1,1.0,1,1.0,4,2,5,3,2.0,2,1,1,2,7,1,1,2,3,Version 3,5.46545886993408,1,1,4,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2.0,1.0,1,1,1,1,1,3.0,2.0,6.0
