,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,TRACK,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPH,INCOME18GEN,INCWHITE,LGBT,NEC,TAXCUTS18,TRADE18,UNITED18
102,25582,3,1.0,2,1.0,6,3,15,4,2.0,3,3,4,2,6,1,1,1,2,Version 4,.850097835063934,2,1,4,2,1,2,2,2,3,2.0,1.0,2.0,4,3,3,2
103,25583,2,2.0,2,,1,1,16,2,2.0,1,2,6,3,1,1,1,1,2,Version 4,1.22136855125427,2,1,4,3,2,1,1,1,2,1.0,1.0,2.0,2,2,2,3
104,25584,1,1.0,1,1.0,7,12,4,4,1.0,6,1,1,1,5,1,1,1,3,Version 4,.551043570041656,5,2,4,2,1,2,2,3,3,3.0,4.0,2.0,2,2,3,3
105,25585,1,1.0,1,1.0,1,5,24,1,2.0,4,1,1,2,7,2,1,4,3,Version 4,14.7341146469116,3,2,4,2,1,2,2,2,3,1.0,3.0,2.0,2,2,2,3
106,25586,1,1.0,2,1.0,7,4,36,5,2.0,2,1,2,1,5,1,1,1,2,Version 4,.870923221111298,2,1,4,2,1,2,2,2,3,3.0,2.0,2.0,1,3,2,3
107,25587,1,1.0,2,1.0,3,2,53,4,2.0,2,1,2,1,5,1,1,3,3,Version 4,2.54922533035278,2,1,4,2,1,2,2,1,2,2.0,1.0,2.0,2,4,2,2
108,25588,1,1.0,1,1.0,1,9,24,4,1.0,7,4,3,2,6,3,1,1,3,Version 4,1.72169816493988,5,2,4,2,1,2,2,2,3,1.0,3.0,2.0,3,2,3,3
109,25589,1,1.0,1,,4,13,6,4,2.0,8,1,1,1,5,5,1,2,3,Version 4,3.63453006744385,7,2,4,2,1,2,2,1,3,4.0,4.0,2.0,3,4,3,3
110,25590,2,2.0,2,,3,2,29,4,2.0,1,2,6,3,1,1,1,1,2,Version 4,3.14571619033813,2,1,4,2,2,5,3,2,2,5.0,2.0,2.0,3,2,2,2
111,25591,1,1.0,2,1.0,1,9,22,2,1.0,6,1,2,2,7,3,1,3,3,Version 4,1.27093005180359,6,2,4,1,1,4,1,1,2,2.0,3.0,2.0,2,2,2,3
115,25595,1,1.0,2,1.0,3,2,12,5,2.0,2,1,2,2,7,1,1,3,3,Version 4,1.77934372425079,2,1,4,2,1,2,2,1,3,4.0,2.0,2.0,2,2,2,3
