,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,TRACK,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPH,INCOME18GEN,INCWHITE,LGBT,NEC,TAXCUTS18,TRADE18,UNITED18
102,25582,Other,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,15,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Liberal,Liberal Independents,White,West,Suburbs,White suburban men,Version 4,.850097835063934,White men,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Poor,Hurt,Hurt,Staying about the same
103,25583,The Republican candidate,The Republican candidate,Male,,18-24,White 18-29,16,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 4,1.22136855125427,White men,White,California,Omit,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"Under $30,000","Under $50,000 and white",No,Good,No impact,No impact,Becoming more divided
104,25584,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,Latino 60+,4,Bachelor's degree (BA or BS),Yes,Latino Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,Other,Version 4,.551043570041656,Latino women,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and non white",No,Good,No impact,Hurt,Becoming more divided
105,25585,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,Black 18-29,24,Never attended college,No,Black Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Black,West,"Cities 10,000-50,000",Other,Version 4,14.7341146469116,Black women,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and non white",No,Good,No impact,No impact,Becoming more divided
106,25586,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,36,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,Suburbs,White suburban men,Version 4,.870923221111298,White men,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Excellent,Hurt,No impact,Becoming more divided
107,25587,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,53,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,West,"Cities over 500,000",Other,Version 4,2.54922533035278,White men,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and white",No,Good,Omit,No impact,Staying about the same
108,25588,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,Latino 18-29,24,Bachelor's degree (BA or BS),Yes,Latino Independent,Something else,Independent Women,Liberal,Liberal Independents,Hispanic/Latino,West,Suburbs,Other,Version 4,1.72169816493988,Latino women,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and non white",No,Not so good,No impact,Hurt,Becoming more divided
109,25589,The Democratic candidate,The Democratic candidate,Female,,40-44,All others,6,Bachelor's degree (BA or BS),No,All Other,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Asian,West,"Cities 50,000-500,000",Other,Version 4,3.63453006744385,All other races,Non-white,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Not so good,Omit,Hurt,Becoming more divided
110,25590,The Republican candidate,The Republican candidate,Male,,30-39,White 30-44,29,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 4,3.14571619033813,White men,White,California,Seriously off on the wrong track,Unfavorable,Omit,Omit,About the same,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Not so good,No impact,No impact,Staying about the same
111,25591,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,18-24,Latino 18-29,22,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Hispanic/Latino,West,"Cities over 500,000",Other,Version 4,1.27093005180359,Latino men,Non-white,California,Generally going in the right direction,Favorable,Both parties,Favorable,Better,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and non white",No,Good,No impact,No impact,Becoming more divided
115,25595,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,12,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,"Cities over 500,000",Other,Version 4,1.77934372425079,White men,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
116,25596,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,12,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,"Cities over 500,000",Other,Version 4,1.05248332023621,White women,White,California,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
118,25598,The Republican candidate,The Republican candidate,Female,The Democratic candidate,30-39,Latino 30-44,35,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Independent,Independent,Independent Women,Moderate,Moderate Independents,Hispanic/Latino,West,Suburbs,Other,Version 4,1.20004570484161,Latino women,Non-white,California,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and non white",No,Good,Helped,Omit,Becoming more divided
