ID,SENIN18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRAUNLIB,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,DONNELLYLIB,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBRAUN,FAVDEM2,FAVDONNELLY,FAVMCONL,FAVPARTY,FAVPELOSI,FAVPENCE,FAVREP2,FAVSENIN18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVIN18,KAVIN18A,KAVIN18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN_1,TIME18SENMONTH_1,TIME18SENWEEK_1,TIME18SEN_2,TRADE18,TRADEBRAUN,TRADEDONNELLY,TRADEIN18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VETVOTER,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2
6739,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete, ,Yes, ,6, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites, , , , , , , , , , , , ,5, ,Major changes, , , , , , , , ,Immigration, , , , ,Yes,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative, ,Independent/Something else,Conservative Republicans,Other,Other,State questionnaire, ,Other,Non-white,Other,Midwest,Politically motivated,The Republican candidate,Male,All other races, , ,Married men,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Other,No impact,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,1.75194537639618,No,All others, , 
6740,Joe Donnelly, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,3, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,2, ,Minor changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Health care, , , ,No,Yes,Excellent,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Democratic candidate,Male,White men, , ,Married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Helped,Telephone survey, , , ,Before October, ,Trust Mike Braun,Trust Joe Donnelly,Both of them,Strongly or somewhat approve,Somewhat approve,About right,Version 1, ,Donald Trump,.648170590400696,No,All others, , 
6741,Mike Braun, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,8, , , ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , , ,5, ,Major changes, , ,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Immigration, , , ,No,Yes,Good,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women, , ,Married women,Rural,Small Cities/Rural,Indiana,Other,Omit,Telephone survey, , , ,Before October, ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,2.678382396698,Yes,All others, , 
6742,Joe Donnelly, ,45-65,60+,60-64,45+,50+,60+,50-64, , , ,Complete, ,Yes, ,2, , , ,Associate's degree (AA or AS),No college degree,More than high school graduate, , , , , , , , , , , , , , ,1, ,Minor changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999", ,Health care, , , ,No,Yes,Not so good,Not so good or poor,45+,18-64,Democrat, , ,Democratic women,Democrat,Democratic Women, , , , , , , ,State questionnaire, , , , ,Midwest,Justified,The Democratic candidate,Female, , , ,Married women,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Hurt,Telephone survey, , , ,Before October, ,Omit,Omit,Omit,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,2.04755139350891,No,All others, , 
6743,Joe Donnelly, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,4, , , ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates, , , , , , , , , , , , ,2, ,Minor changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,Yes,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal, ,Liberal Democrats,Liberal Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Male,White men, , ,Married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,No impact,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,2.1250011920929,No,All others, , 
6744,Joe Donnelly, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No, ,3, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,Yes,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Married women,Rural,Small Cities/Rural,Indiana,Other,No impact,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.664546608924866,No,All others, , 
6745,Joe Donnelly, ,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No, ,9, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,5, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal, ,Liberal Democrats,Liberal Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Male,White men, , ,Non married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,No impact,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.923018872737885,No,All others, , 
6746,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes, ,9, , , ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates, , , , , , , , , , , , ,5, ,Minor changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration, , , ,No,Yes,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Helped,Telephone survey, , , ,In October, ,Trust Mike Braun,Trust Joe Donnelly,Both of them,Strongly or somewhat approve,Somewhat approve,Not tough enough,Version 1, ,Hillary Clinton,1.53513741493225,No,White Born-again/Evangelical Christians, , 
6747,Mike Braun, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,3, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,2, ,Minor changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy, , , ,No,Yes,Excellent,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Married men,Rural,Small Cities/Rural,Indiana,Other,Helped,Telephone survey, , , ,Before October, ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,1.07801795005798,No,White Born-again/Evangelical Christians, , 
6748,Joe Donnelly, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes, ,7, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,3, ,Major changes, , , , , , , , ,Health care, , , ,No,No,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal, ,Liberal Democrats,Liberal Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Non married women,"Cities over 500,000","Cities over 50,000",Indiana,Other,Hurt,Telephone survey, , , ,Before October, ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.400653570890427,No,White Born-again/Evangelical Christians, , 
