,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ELECTSECFOREIGN18,KAVANAUGH18,TRUMP4,VOTE2016,TRUMPFP18,CONTROLHOUSE,VETVOTER,FTVOTER18,ABORTION18
201,25681,1,1.0,2,1.0,2,9,42,4,1.0,6,1,2,2,7,3,1,1,3,Version 1,1.53765070438385,6,2,4,1,2,1,1,3,1,2.0,1.0,1
202,25682,1,1.0,2,1.0,3,2,52,4,2.0,2,1,2,3,5,1,1,3,3,Version 1,9.56068992614746,2,1,4,2,2,1,4,2,1,2.0,1.0,1
205,25685,1,1.0,2,,7,8,31,3,2.0,4,1,2,2,7,2,1,1,3,Version 1,1.12791335582733,4,2,4,2,2,1,1,3,1,2.0,2.0,1
206,25686,2,2.0,1,,3,10,3,2,1.0,1,2,5,3,1,3,1,1,3,Version 1,2.40164542198181,5,2,4,1,1,4,2,2,2,2.0,2.0,2
207,25687,1,1.0,2,1.0,8,8,26,5,2.0,4,1,2,2,7,2,1,2,3,Version 1,.81684672832489,4,2,4,2,2,1,1,3,1,2.0,2.0,1
208,25688,1,1.0,1,1.0,2,9,22,4,1.0,7,3,3,2,6,3,1,3,3,Version 1,1.73883008956909,5,2,4,2,2,1,1,3,1,2.0,2.0,1
209,25689,1,1.0,2,,1,9,14,4,1.0,7,4,4,2,6,3,1,1,3,Version 1,3.84082937240601,6,2,4,2,2,1,4,2,1,2.0,1.0,1
211,25691,2,2.0,2,,8,4,42,4,2.0,1,2,6,3,1,1,1,1,2,Version 1,.26183757185936,2,1,4,1,1,3,2,3,2,2.0,2.0,1
212,25692,1,1.0,2,1.0,3,10,12,5,1.0,7,3,4,2,6,3,1,3,3,Version 1,1.85055065155029,6,2,4,2,2,1,1,3,1,2.0,2.0,1
213,25693,1,1.0,2,1.0,7,13,4,3,2.0,8,1,2,1,5,4,1,5,3,Version 1,.384195983409882,7,2,4,2,2,1,3,3,1,1.0,2.0,1
214,25694,1,1.0,1,1.0,6,3,2,4,2.0,2,1,1,2,7,1,1,2,3,Version 1,1.37195527553558,1,1,4,2,2,1,1,3,1,2.0,2.0,1
215,25695,2,2.0,2,1.0,6,3,9,5,2.0,3,3,4,3,3,1,1,2,3,Version 1,.36261385679245,2,1,4,1,1,3,2,2,2,2.0,2.0,2
216,25696,1,1.0,1,1.0,1,1,3,2,2.0,3,4,3,1,4,1,1,2,3,Version 1,3.45989918708801,1,1,4,3,2,1,4,3,3,2.0,1.0,1
217,25697,1,1.0,1,1.0,3,10,27,2,1.0,6,1,1,2,7,3,1,1,3,Version 1,2.84961128234863,5,2,4,2,3,1,1,3,1,2.0,2.0,1
218,25698,1,1.0,2,1.0,1,9,22,2,1.0,7,3,4,2,6,3,1,1,3,Version 1,1.27093005180359,6,2,4,2,2,2,4,3,1,2.0,1.0,1
219,25699,1,1.0,2,1.0,4,10,25,5,1.0,6,1,2,2,7,3,1,1,3,Version 1,.651287138462067,6,2,4,2,2,1,1,3,1,2.0,2.0,1
221,25701,1,1.0,1,,4,13,33,4,2.0,8,1,1,1,5,5,1,3,3,Version 1,7.72204494476318,7,2,4,2,2,1,1,3,1,2.0,2.0,1
222,25702,1,1.0,2,1.0,7,8,13,5,2.0,4,1,2,2,7,2,1,1,3,Version 1,1.42932629585266,4,2,4,2,2,1,1,3,1,2.0,2.0,1
223,25703,1,1.0,1,,5,11,47,2,1.0,6,1,1,1,5,3,1,1,3,Version 1,1.03168439865112,5,2,4,1,3,2,1,2,1,2.0,2.0,1
224,25704,2,1.0,2,,3,2,11,5,2.0,1,2,6,1,2,1,1,1,2,Version 1,2.12534427642822,2,1,4,1,3,1,3,3,1,2.0,2.0,1
225,25705,2,2.0,2,3.0,6,11,23,1,1.0,1,2,6,3,1,1,1,2,3,Version 1,2.29305219650269,6,2,4,1,1,3,4,1,2,1.0,1.0,3
226,25706,1,1.0,2,1.0,6,13,40,2,2.0,8,1,2,3,5,6,1,1,3,Version 1,1.880166888237,7,2,4,2,2,1,1,3,1,1.0,2.0,1
228,25708,2,,2,,2,13,39,4,2.0,8,3,4,1,4,5,1,1,3,Version 1,9.7637357711792,7,2,4,2,2,2,3,3,3,2.0,2.0,1
229,25709,3,,2,1.0,7,4,7,2,2.0,2,1,2,2,7,1,1,2,3,Version 1,.911627113819122,2,1,4,2,2,1,3,2,1,2.0,2.0,2
230,25710,2,2.0,2,,6,7,30,4,2.0,5,4,4,3,3,2,1,1,3,Version 1,.444926381111145,4,2,4,1,1,3,2,1,2,1.0,2.0,2
231,25711,2,2.0,1,3.0,6,3,23,5,2.0,1,2,5,3,1,1,1,1,1,Version 1,1.07809102535248,1,1,4,2,1,3,2,1,2,2.0,2.0,2
