,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
0,25480,2,2.0,1,1.0,3,2,23,5,2.0,2,1,1,1,5,1,1,2,3,Version 2,1.15386927127838,1,1,4,1,2,1,1,1,2,1.0,1,4,1
1,25481,1,1.0,2,1.0,3,10,40,2,1.0,6,1,2,2,7,3,1,1,3,Version 2,2.15388107299805,6,2,4,1,1,1,1,1,2,1.0,1,1,2
2,25482,1,,1,,6,7,21,2,2.0,4,1,1,3,5,2,1,1,3,Version 2,3.0299916267395,3,2,4,3,2,2,1,1,1,7.0,1,1,1
3,25483,2,,1,,8,4,1,2,2.0,1,2,5,2,2,1,1,2,3,Version 2,.603291809558868,1,1,4,3,1,2,2,2,3,3.0,3,1,4
4,25484,2,2.0,1,,3,10,53,3,1.0,7,4,3,2,6,4,1,1,3,Version 2,2.77885246276855,5,2,4,2,1,2,1,2,1,2.0,2,2,4
5,25485,1,1.0,2,1.0,6,11,34,4,1.0,7,3,4,2,6,3,1,3,3,Version 2,.430825442075729,6,2,4,2,1,3,2,1,2,6.0,2,1,1
6,25486,2,2.0,2,,8,13,25,2,2.0,1,2,6,3,1,4,1,1,3,Version 2,1.60511541366577,7,2,4,2,2,2,2,2,1,3.0,2,2,5
7,25487,1,1.0,1,1.0,2,1,13,5,2.0,2,1,1,2,7,1,1,1,1,Version 2,2.60090398788452,1,1,4,1,1,3,1,1,2,7.0,1,1,1
9,25489,2,2.0,2,1.0,2,1,6,4,2.0,3,3,4,2,6,1,1,2,3,Version 2,1.54575049877167,2,1,4,2,2,2,2,2,1,7.0,2,2,4
11,25491,1,1.0,1,1.0,4,10,40,2,1.0,6,1,1,1,5,3,1,1,3,Version 2,1.61372673511505,5,2,4,2,1,1,2,2,2,1.0,1,3,3
13,25493,2,2.0,2,3.0,5,11,1,2,1.0,7,4,4,3,3,1,1,5,3,Version 2,.936949729919434,6,2,4,2,1,2,2,2,3,3.0,4,3,2
14,25494,2,2.0,2,1.0,7,4,16,3,2.0,3,3,4,3,3,1,1,3,3,Version 2,.433804988861084,2,1,4,2,1,2,2,2,1,2.0,2,3,2
15,25495,1,1.0,1,1.0,8,4,5,4,2.0,2,1,1,2,7,1,1,1,1,Version 2,.690514862537384,1,1,4,2,1,1,2,1,2,1.0,1,1,1
16,25496,1,1.0,1,1.0,8,4,20,4,2.0,2,1,1,2,7,1,1,1,1,Version 2,.771251499652863,1,1,4,1,1,1,1,1,2,2.0,1,1,1
17,25497,2,2.0,2,3.0,7,8,22,2,2.0,1,2,6,3,1,2,1,1,3,Version 2,.915585100650787,4,2,4,2,1,2,2,2,1,3.0,2,3,3
18,25498,2,2.0,2,3.0,6,3,22,3,2.0,3,3,4,3,3,1,1,2,3,Version 2,.431478202342987,2,1,4,2,1,2,2,2,1,2.0,2,4,4
19,25499,1,1.0,1,1.0,6,3,1,5,2.0,2,1,1,2,7,1,1,2,3,Version 2,.429174810647964,1,1,4,1,1,1,1,1,2,7.0,1,1,1
20,25500,1,1.0,2,,4,2,47,4,2.0,2,1,2,1,5,1,1,2,3,Version 2,.841432750225067,2,1,4,3,1,1,1,1,2,1.0,2,2,1
21,25501,1,1.0,1,1.0,3,10,47,5,1.0,6,1,1,2,7,3,1,2,3,Version 2,2.95017766952515,5,2,4,2,2,1,2,2,2,3.0,1,3,1
22,25502,1,,1,,1,1,28,4,2.0,2,1,1,2,7,1,1,3,3,Version 2,.825609922409058,1,1,4,3,1,1,3,1,2,3.0,1,4,1
24,25504,1,2.0,2,1.0,8,4,3,5,2.0,3,3,4,1,4,1,1,2,3,Version 2,.454204797744751,2,1,4,2,2,2,3,2,3,7.0,3,3,1
25,25505,2,2.0,2,3.0,3,2,1,5,2.0,1,2,6,3,1,1,1,1,2,Version 2,2.43756723403931,2,1,4,2,1,2,1,2,3,3.0,3,1,5
26,25506,1,1.0,2,1.0,5,3,2,5,2.0,2,1,2,2,7,1,1,5,3,Version 2,.839741826057434,2,1,4,2,1,1,1,1,2,6.0,1,1,1
27,25507,1,1.0,2,1.0,4,2,28,4,2.0,2,1,2,2,7,1,1,3,3,Version 2,1.12256610393524,2,1,4,1,1,2,2,2,2,1.0,2,2,1
28,25508,1,1.0,1,1.0,7,12,46,4,1.0,6,1,1,1,5,3,1,1,3,Version 2,2.80318355560303,5,2,4,3,1,1,1,1,2,2.0,2,1,2
29,25509,1,1.0,2,1.0,6,11,5,2,1.0,7,4,4,2,6,3,1,2,3,Version 2,1.40792179107666,6,2,4,1,1,2,1,1,2,1.0,1,1,1
31,25511,1,1.0,1,1.0,3,13,30,3,2.0,8,1,1,1,5,5,1,1,3,Version 2,4.14828872680664,7,2,4,1,1,1,2,2,2,6.0,2,3,1
32,25512,2,2.0,2,,7,4,36,2,2.0,3,3,4,3,3,1,1,1,2,Version 2,.763216555118561,2,1,4,2,1,2,2,2,1,1.0,2,3,4
33,25513,1,1.0,1,1.0,1,1,13,4,2.0,2,1,1,2,7,1,1,2,3,Version 2,1.61880028247833,1,1,4,3,1,1,1,2,2,7.0,1,3,1
34,25514,1,1.0,2,1.0,8,4,22,5,2.0,2,1,2,1,5,1,1,3,3,Version 2,.177778646349907,2,1,4,1,1,1,1,1,2,7.0,1,1,1
36,25516,1,1.0,1,1.0,8,4,18,3,2.0,3,3,3,1,4,1,1,2,3,Version 2,1.25169205665588,1,1,4,1,2,1,1,1,2,2.0,1,1,2
37,25517,2,2.0,1,1.0,8,4,10,5,2.0,1,2,5,3,1,1,1,1,1,Version 2,.201146647334099,1,1,4,2,3,2,1,1,1,2.0,2,3,4
38,25518,2,2.0,1,1.0,6,3,4,2,2.0,1,2,5,3,1,1,1,1,1,Version 2,3.21953272819519,1,1,4,2,1,2,2,2,1,2.0,3,3,3
39,25519,2,2.0,2,3.0,8,4,1,2,2.0,3,3,4,3,3,1,1,1,2,Version 2,.509727001190186,2,1,4,2,1,2,2,2,1,2.0,3,2,3
40,25520,2,2.0,2,3.0,8,4,8,2,2.0,3,4,4,3,3,1,1,1,2,Version 2,1.01945471763611,2,1,4,2,3,2,3,2,1,3.0,2,1,1
41,25521,1,1.0,2,1.0,8,4,5,5,2.0,2,1,2,2,7,1,1,2,3,Version 2,.454204797744751,2,1,4,1,1,2,1,1,4,2.0,2,1,1
