,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
0,25480,The Republican candidate,The Republican candidate,Female,The Democratic candidate,30-39,White 30-44,23,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,"Cities 50,000-500,000",Other,Version 2,1.15386927127838,White women,White,California,Favorable,Minor changes,Yes,Approve,Justified,Too tough,Catholic,Whites are favored over minorities,Gun policy,Very important
1,25481,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,Latino 30-44,40,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Hispanic/Latino,West,Suburbs,Other,Version 2,2.15388107299805,Latino men,Non-white,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,Catholic,Whites are favored over minorities,Health care,Somewhat important
2,25482,The Democratic candidate,,Female,,50-59,Black 45-59,21,Attended college but received no degree,No,Black Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Black,West,Suburbs,Other,Version 2,3.0299916267395,Black women,Non-white,California,Omit,Minor changes,No,Approve,Justified,About right,None,Whites are favored over minorities,Health care,Very important
3,25483,The Republican candidate,,Female,,65 or over,White 60+,1,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Liberal,Mod./Liberal Republicans,White,West,"Cities 50,000-500,000",Other,Version 2,.603291809558868,White women,White,California,Omit,Major changes,No,Disapprove,Politically motivated,Not tough enough,Other Christian,Minorities are favored over whites,Health care,Not at all important
4,25484,The Republican candidate,The Republican candidate,Female,,30-39,Latino 30-44,53,Associate's degree (AA or AS),Yes,Latino Independent,Something else,Independent Women,Liberal,Liberal Independents,Other,West,Suburbs,Other,Version 2,2.77885246276855,Latino women,Non-white,California,Unfavorable,Major changes,No,Approve,Politically motivated,About right,Protestant,No group is favored,The economy,Not at all important
5,25485,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,Latino 45-59,34,Bachelor's degree (BA or BS),Yes,Latino Independent,Independent,Independent Men,Liberal,Liberal Independents,Hispanic/Latino,West,"Cities over 500,000",Other,Version 2,.430825442075729,Latino men,Non-white,California,Unfavorable,Major changes,Omit,Disapprove,Justified,Too tough,Other,No group is favored,Health care,Very important
6,25486,The Republican candidate,The Republican candidate,Male,,65 or over,All others,25,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,Other,West,Suburbs,Other,Version 2,1.60511541366577,All other races,Non-white,California,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,Other Christian,No group is favored,The economy,Omit
7,25487,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,25-29,White 18-29,13,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 2,2.60090398788452,White women,White,California,Favorable,Major changes,Omit,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Very important
9,25489,The Republican candidate,The Republican candidate,Male,The Democratic candidate,25-29,White 18-29,6,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Liberal,Liberal Independents,White,West,"Cities 50,000-500,000",Other,Version 2,1.54575049877167,White men,White,California,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,None,No group is favored,The economy,Not at all important
11,25491,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,Latino 30-44,40,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Hispanic/Latino,West,Suburbs,Other,Version 2,1.61372673511505,Latino women,Non-white,California,Unfavorable,Major changes,Yes,Disapprove,Politically motivated,Too tough,Catholic,Whites are favored over minorities,Immigration,Not too important
13,25493,The Republican candidate,The Republican candidate,Male,Other,45-49,Latino 45-59,1,Attended college but received no degree,Yes,Latino Independent,Something else,Independent Men,Conservative,Conservative Independents,White,West,Rural,Other,Version 2,.936949729919434,Latino men,Non-white,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,Not tough enough,Other Christian,Omit,Immigration,Somewhat important
14,25494,The Republican candidate,The Republican candidate,Male,The Democratic candidate,60-64,White 60+,16,Associate's degree (AA or AS),No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,"Cities over 500,000",Other,Version 2,.433804988861084,White men,White,California,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,No group is favored,Immigration,Somewhat important
15,25495,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,5,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 2,.690514862537384,White women,White,California,Unfavorable,Major changes,Yes,Disapprove,Justified,Too tough,Catholic,Whites are favored over minorities,Health care,Very important
16,25496,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,20,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 2,.771251499652863,White women,White,California,Favorable,Major changes,Yes,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Very important
