,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,ATTEND16,ATTREL,BOYSGIRLS,BRNAGAIN,CHILD18,CHILDBOY,CHILDGIRL,ISSUE18,MARRIED,PARENTS,TRUMP4,WOMEN,HEALTHPRE18,GUN16,SEXUALHARASS,SEXWED,GUNOWNER12,RELIGN18
301,25781,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,45-49,White 45-59,11,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,West,Suburbs,White suburban men,Version 3,2.98074889183044,White men,White,California,A few times a year,Protestant/Do not attend weekly,"Yes, both boys and girls",No,Yes,Yes,Yes,Health care,Yes,Men with children,Strongly disapprove,Somewhat important,The Democratic Party,Support,Somewhat serious,Married men,No,Protestant
302,25782,The Republican candidate,The Republican candidate,Male,The Democratic candidate,30-39,White 30-44,45,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,West,Suburbs,White suburban men,Version 3,2.54922533035278,White men,White,California,Never,All others,"Yes, only girls",No,Yes,No,Yes,The economy,Yes,Men with children,Somewhat approve,Not at all important,The Republican Party,Support,Somewhat serious,Married men,No,Jewish
304,25784,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,19,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities over 500,000",Other,Version 3,.783298313617706,White women,White,California,A few times a year,All others,No children in home,No,No,No,No,Health care,No,Women without children,Somewhat disapprove,Very important,The Democratic Party,Support,Somewhat serious,Non married women,No,None
305,25785,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,45-49,All others,11,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Other,Democrat,Democratic Women,Liberal,Liberal Democrats,Asian,West,Suburbs,Other,Version 3,3.30161619186401,All other races,Non-white,California,A few times a year,Protestant/Do not attend weekly,"Yes, only boys",No,Yes,Yes,No,Gun policy,Yes,Women with children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Married women,No,Protestant
306,25786,The Republican candidate,The Republican candidate,Male,The Democratic candidate,60-64,White 60+,23,Attended college but received no degree,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,West,Suburbs,White suburban men,Version 3,.763216555118561,White men,White,California,A few times a year,Protestant/Do not attend weekly,No children in home,Yes,No,No,No,Immigration,Yes,Men without children,Strongly approve,Not at all important,The Democratic Party,Oppose,Not too serious,Married men,Yes,Protestant
307,25787,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,5,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,West,Rural,Other,Version 3,.537578046321869,White women,White,California,Never,Catholic/Do not attend weekly,No children in home,No,No,No,No,Health care,Yes,Women without children,Strongly disapprove,Somewhat important,The Democratic Party,Oppose,Very serious,Married women,No,Catholic
309,25789,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,45-49,Black 45-59,42,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Black,West,Suburbs,Other,Version 3,.423655450344086,Black men,Non-white,California,A few times a year,All others,"Yes, both boys and girls",Yes,Yes,Yes,Yes,The economy,Yes,Men with children,Somewhat disapprove,Somewhat important,The Democratic Party,Support,Somewhat serious,Married men,Yes,Other Christian
310,25790,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,Latino 18-29,33,Bachelor's degree (BA or BS),Yes,Latino Independent,Independent,Independent Women,Liberal,Liberal Independents,Hispanic/Latino,West,Suburbs,Other,Version 3,.784276485443115,Latino women,Non-white,California,Never,All others,No children in home,No,No,No,No,Gun policy,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Non married women,Yes,None
311,25791,The Democratic candidate,The Democratic candidate,Male,,18-24,White 18-29,50,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,West,Suburbs,White suburban men,Version 3,2.48631763458252,White men,White,California,Never,All others,No children in home,No,No,No,No,Health care,No,Men without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Non married men,Yes,None
312,25792,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,Latino 60+,31,Never attended college,Yes,Latino Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Hispanic/Latino,West,Suburbs,Other,Version 3,5.83082151412964,Latino women,Non-white,California,Once a week or more,All others,No children in home,Yes,No,No,No,Gun policy,Yes,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Somewhat serious,Married women,No,Other Christian
313,25793,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,6,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 3,.429174810647964,White women,White,California,Once a week or more,Protestant/Attend weekly,No children in home,No,No,No,No,Health care,Yes,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Married women,No,Protestant
316,25796,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,White 30-44,11,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,Suburbs,White suburban women,Version 3,4.40876865386963,White women,White,California,Never,Protestant/Do not attend weekly,No children in home,No,No,No,No,Health care,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Non married women,Yes,Protestant
317,25797,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,White 30-44,5,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,West,"Cities 50,000-500,000",Other,Version 3,5.46545886993408,White women,White,California,Never,All others,No children in home,No,No,No,No,The economy,No,Women without children,Strongly disapprove,Very important,The Democratic Party,Support,Very serious,Non married women,No,Other
